actual,predicted,residual
22995,22496.072,498.927734375
16590,16407.52,182.48046875
21519,17703.12,3815.880859375
6499,8459.681,-1960.6806640625
29000,36110.035,-7110.03515625
53888,51590.08,2297.921875
37995,35018.934,2976.06640625
4500,3945.0706,554.929443359375
2500,2950.5322,-450.5322265625
11300,4779.727,6520.27294921875
17998,16467.295,1530.705078125
5799,10540.337,-4741.3369140625
29995,27110.78,2884.220703125
700,12047.068,-11347.068359375
13997,17257.873,-3260.873046875
7500,9139.091,-1639.0908203125
11995,18817.285,-6822.28515625
19800,14234.096,5565.904296875
11999,13001.399,-1002.3994140625
3900,5324.4116,-1424.41162109375
14990,15471.702,-481.7021484375
14995,14992.742,2.2578125
10495,13122.444,-2627.4443359375
6488,4851.4937,1636.50634765625
3995,4833.404,-838.40380859375
39590,39278.266,311.734375
4995,3506.428,1488.572021484375
9998,7956.11,2041.89013671875
27195,21519.0,5676.0
47999,48174.07,-175.0703125
41999,33178.656,8820.34375
28981,30793.404,-1812.404296875
19730,19425.492,304.5078125
25990,25769.16,220.83984375
2975,7738.9014,-4763.9013671875
4300,7660.5156,-3360.515625
4995,7272.6763,-2277.67626953125
22598,23572.717,-974.716796875
35590,35366.25,223.75
20000,11157.773,8842.2265625
9100,11332.374,-2232.3740234375
12900,13876.921,-976.9208984375
9995,11769.062,-1774.0615234375
35900,32734.857,3165.142578125
6995,6703.8,291.2001953125
17590,23964.834,-6374.833984375
39000,32861.52,6138.48046875
24500,7623.781,16876.21923828125
12995,12474.237,520.7626953125
16995,29817.041,-12822.041015625
5750,7482.3774,-1732.37744140625
8329,9123.37,-794.3701171875
13200,7182.057,6017.94287109375
23920,17656.44,6263.560546875
6995,7712.033,-717.033203125
1850,2949.1816,-1099.181640625
12549,9738.573,2810.4267578125
28990,24249.537,4740.462890625
23500,24212.46,-712.4609375
10990,11064.3545,-74.3544921875
5500,6509.868,-1009.8681640625
17985,15738.715,2246.28515625
8980,7016.7173,1963.28271484375
16990,36656.89,-19666.890625
4900,5291.889,-391.88916015625
4900,7772.738,-2872.73779296875
6995,6791.9424,203.0576171875
61981,45952.844,16028.15625
16990,21040.418,-4050.41796875
10500,12044.204,-1544.2041015625
12999,22620.047,-9621.046875
14995,14168.684,826.31640625
3600,4458.494,-858.494140625
7995,5257.811,2737.18896484375
1000,986.6026,13.39739990234375
9699,11314.2,-1615.2001953125
3500,6595.4272,-3095.42724609375
8995,6791.5986,2203.4013671875
35990,34904.125,1085.875
1600,1712.8939,-112.8939208984375
28400,25111.941,3288.05859375
3300,8022.15,-4722.14990234375
29990,28001.654,1988.345703125
24750,23045.24,1704.759765625
10999,11125.509,-126.5087890625
13931,14430.417,-499.4169921875
14995,15971.207,-976.20703125
2500,1797.3569,702.64306640625
3999,4884.403,-885.40283203125
12495,14255.94,-1760.9404296875
12490,11652.565,837.4345703125
7995,15953.399,-7958.3994140625
8550,14236.343,-5686.3427734375
8500,7678.5913,821.40869140625
7500,7720.1953,-220.1953125
10950,11205.712,-255.7119140625
16850,28631.98,-11781.98046875
34500,32992.555,1507.4453125
13999,12869.124,1129.8759765625
7995,9451.093,-1456.0927734375
23988,24634.113,-646.11328125
30235,28521.293,1713.70703125
47999,44833.95,3165.05078125
3900,9874.018,-5974.017578125
12500,16912.125,-4412.125
23995,23022.143,972.857421875
11995,13946.433,-1951.4326171875
11655,19473.139,-7818.138671875
33995,31368.0,2627.0
23989,16548.822,7440.177734375
13000,8448.907,4551.0927734375
4500,4458.3867,41.61328125
25590,24505.844,1084.15625
5950,6131.8955,-181.8955078125
8400,6765.1836,1634.81640625
5490,5434.5884,55.41162109375
3000,8307.04,-5307.0400390625
1950,3067.3943,-1117.394287109375
16900,12987.803,3912.197265625
18000,31919.584,-13919.583984375
24995,21375.883,3619.1171875
3995,4284.5054,-289.50537109375
15950,16340.809,-390.80859375
16950,16819.93,130.0703125
5950,4658.699,1291.30078125
12887,12427.363,459.63671875
37590,33621.164,3968.8359375
7000,5194.856,1805.14404296875
14588,17284.15,-2696.150390625
15900,15458.804,441.1962890625
31921,34711.082,-2790.08203125
18988,10903.131,8084.869140625
2400,4827.195,-2427.19482421875
18980,14249.64,4730.3603515625
17991,18874.01,-883.009765625
33747,34652.098,-905.09765625
6600,11477.164,-4877.1640625
7495,6834.881,660.119140625
27990,30448.648,-2458.6484375
25995,26900.754,-905.75390625
