actual,predicted,residual
22995,22830.291,164.708984375
16590,16560.98,29.01953125
21519,17022.79,4496.2109375
6499,8524.088,-2025.087890625
29000,37143.137,-8143.13671875
53888,51624.79,2263.2109375
37995,35318.316,2676.68359375
4500,3975.7258,524.274169921875
2500,2830.1384,-330.138427734375
11300,4918.3994,6381.6005859375
17998,17052.188,945.8125
5799,7814.638,-2015.63818359375
29995,26820.72,3174.279296875
700,11987.284,-11287.2841796875
13997,16697.838,-2700.837890625
7500,8977.598,-1477.59765625
11995,17665.732,-5670.732421875
19800,14785.572,5014.427734375
11999,13450.898,-1451.8984375
3900,5128.8745,-1228.87451171875
14990,15507.167,-517.1669921875
14995,14483.688,511.3115234375
10495,14224.112,-3729.1123046875
6488,4780.071,1707.92919921875
3995,5099.268,-1104.26806640625
39590,39649.84,-59.83984375
4995,3343.7795,1651.220458984375
9998,9330.6455,667.3544921875
27195,22610.729,4584.271484375
47999,47958.055,40.9453125
41999,31468.234,10530.765625
28981,30928.31,-1947.310546875
19730,19675.082,54.91796875
25990,25605.303,384.697265625
2975,6480.838,-3505.837890625
4300,7536.6562,-3236.65625
4995,6507.7266,-1512.7265625
22598,25083.656,-2485.65625
35590,35494.06,95.94140625
20000,13251.085,6748.9150390625
9100,10719.937,-1619.9365234375
12900,12560.506,339.494140625
9995,14141.843,-4146.8427734375
35900,32654.893,3245.107421875
6995,7493.208,-498.2080078125
17590,31128.193,-13538.193359375
39000,30119.422,8880.578125
24500,7625.7715,16874.228515625
12995,13261.033,-266.033203125
16995,29437.67,-12442.669921875
5750,7225.6523,-1475.65234375
8329,8834.244,-505.244140625
13200,10296.476,2903.5244140625
23920,18458.545,5461.455078125
6995,6648.1187,346.88134765625
1850,3145.9482,-1295.9482421875
12549,10353.551,2195.44921875
28990,24604.96,4385.0390625
23500,20965.922,2534.078125
10990,11148.686,-158.685546875
5500,5845.1416,-345.1416015625
17985,15956.73,2028.26953125
8980,7051.6406,1928.359375
16990,36325.14,-19335.140625
4900,4790.362,109.63818359375
4900,8024.075,-3124.0751953125
6995,6716.3013,278.69873046875
61981,44663.69,17317.30859375
16990,22090.668,-5100.66796875
10500,13656.655,-3156.6552734375
12999,22170.268,-9171.267578125
14995,14538.402,456.59765625
3600,4074.2104,-474.21044921875
7995,5237.6865,2757.3134765625
1000,767.0823,232.917724609375
9699,11387.204,-1688.2041015625
3500,7133.7964,-3633.79638671875
8995,6717.9565,2277.04345703125
35990,34332.004,1657.99609375
1600,2006.1685,-406.16845703125
28400,24349.473,4050.52734375
3300,7952.177,-4652.1767578125
29990,28017.352,1972.6484375
24750,21490.334,3259.666015625
10999,11988.5,-989.5
13931,17439.059,-3508.05859375
14995,17484.41,-2489.41015625
2500,2774.814,-274.81396484375
3999,5049.437,-1050.43701171875
12495,14256.952,-1761.9521484375
12490,12462.564,27.435546875
7995,16725.213,-8730.212890625
8550,13351.533,-4801.533203125
8500,7426.5664,1073.43359375
7500,9800.243,-2300.2431640625
10950,10264.117,685.8828125
16850,29421.412,-12571.412109375
34500,33803.223,696.77734375
13999,13784.0205,214.9794921875
7995,9947.49,-1952.490234375
23988,24348.646,-360.646484375
30235,29220.797,1014.203125
47999,43450.375,4548.625
3900,10387.825,-6487.8251953125
12500,16295.665,-3795.6650390625
23995,23185.002,809.998046875
11995,12997.519,-1002.5185546875
11655,20307.88,-8652.880859375
33995,33241.66,753.33984375
23989,16254.045,7734.955078125
13000,9225.257,3774.7431640625
4500,4135.68,364.31982421875
25590,23990.373,1599.626953125
5950,4778.4272,1171.57275390625
8400,6484.0073,1915.99267578125
5490,5414.726,75.27392578125
3000,7131.1313,-4131.13134765625
1950,3142.9126,-1192.91259765625
16900,12550.996,4349.00390625
18000,32887.133,-14887.1328125
24995,20514.646,4480.353515625
3995,4430.915,-435.9150390625
15950,16535.113,-585.11328125
16950,16168.118,781.8818359375
5950,4646.5317,1303.46826171875
12887,12688.36,198.6396484375
37590,33466.582,4123.41796875
7000,7332.933,-332.93310546875
14588,18037.078,-3449.078125
15900,14033.798,1866.2021484375
31921,35479.773,-3558.7734375
18988,11044.183,7943.8173828125
2400,5064.5327,-2664.53271484375
18980,14683.165,4296.8349609375
17991,19521.242,-1530.2421875
33747,32757.494,989.505859375
6600,10302.131,-3702.130859375
7495,7210.324,284.67578125
27990,29936.268,-1946.267578125
25995,25999.955,-4.955078125
77981,64388.336,13592.6640625
13995,20261.994,-6266.994140625
7495,13700.475,-6205.474609375
10600,13497.393,-2897.392578125
3900,11493.828,-7593.828125
22990,29483.209,-6493.208984375
43999,33926.24,10072.76171875
29998,27187.852,2810.1484375
4900,6555.2363,-1655.236328125
7850,10466.858,-2616.8583984375
23999,19291.564,4707.435546875
27900,21420.021,6479.978515625
7200,7410.589,-210.5888671875
27990,27858.707,131.29296875
25999,29936.125,-3937.125
28900,26334.055,2565.9453125
7995,7456.112,538.88818359375
16500,33313.688,-16813.6875
7900,10124.412,-2224.412109375
16499,20402.916,-3903.916015625
25995,27465.785,-1470.78515625
14595,6697.8057,7897.1943359375
32900,31288.348,1611.65234375
4200,4947.6626,-747.66259765625
6995,13282.617,-6287.6171875
11950,12035.925,-85.9248046875
8699,5155.5977,3543.40234375
10660,11126.584,-466.583984375
5000,5428.0537,-428.0537109375
12495,12217.132,277.8681640625
19995,22104.908,-2109.908203125
14977,13853.879,1123.12109375
26421,20331.326,6089.673828125
8999,12910.035,-3911.03515625
4499,6718.3677,-2219.36767578125
13395,11050.806,2344.1943359375
15000,26209.246,-11209.24609375
3500,5387.552,-1887.5517578125
2500,4115.799,-1615.798828125
14900,13743.8545,1156.1455078125
54900,32258.21,22641.7890625
44894,46727.22,-1833.21875
9900,12759.065,-2859.0654296875
24590,22781.77,1808.23046875
25495,22261.576,3233.423828125
46995,46038.65,956.3515625
11900,21164.225,-9264.224609375
20990,15548.297,5441.703125
10995,11454.382,-459.3818359375
3495,4087.0964,-592.096435546875
6300,9534.0625,-3234.0625
5950,4365.67,1584.330078125
35590,34172.605,1417.39453125
29990,29906.592,83.408203125
22990,23499.182,-509.181640625
10995,6771.674,4223.326171875
5000,14559.772,-9559.7724609375
6500,10178.328,-3678.328125
11995,12407.948,-412.9482421875
6495,4783.037,1711.962890625
19999,23465.697,-3466.697265625
22990,21910.668,1079.33203125
15490,22250.754,-6760.75390625
38999,33959.11,5039.890625
10820,11638.762,-818.76171875
5995,5333.1816,661.818359375
30590,30565.154,24.845703125
26995,25007.152,1987.84765625
26990,16900.955,10089.044921875
26990,33003.445,-6013.4453125
4000,8796.743,-4796.7431640625
39990,40689.21,-699.2109375
5650,4623.3057,1026.6943359375
17900,19032.457,-1132.45703125
9500,10381.86,-881.8603515625
23839,23193.176,645.82421875
12990,10221.909,2768.0908203125
1600,1457.6427,142.3572998046875
5987,5570.3535,416.646484375
39995,31499.322,8495.677734375
65999,60659.918,5339.08203125
16000,12519.141,3480.859375
7995,10943.387,-2948.38671875
12990,12833.418,156.58203125
11250,8321.324,2928.67578125
18800,18013.783,786.216796875
44888,48125.9,-3237.8984375
34590,33966.316,623.68359375
47447,39548.06,7898.94140625
4500,3376.0222,1123.977783203125
22000,12541.001,9458.9990234375
58995,55008.74,3986.26171875
7488,7020.8833,467.11669921875
34500,27763.752,6736.248046875
16995,13861.516,3133.484375
11999,12678.194,-679.1943359375
22999,13934.752,9064.248046875
18513,15268.846,3244.154296875
23995,17773.41,6221.58984375
14882,18636.6,-3754.599609375
19900,16286.419,3613.5810546875
15590,21718.205,-6128.205078125
2000,17087.408,-15087.408203125
20990,23218.26,-2228.259765625
39999,34758.363,5240.63671875
3950,5124.9,-1174.89990234375
5500,7291.7725,-1791.7724609375
16995,18848.836,-1853.8359375
6995,7617.1514,-622.1513671875
29990,30721.816,-731.81640625
12990,14972.629,-1982.62890625
3977,4034.4915,-57.491455078125
19590,26165.54,-6575.5390625
4900,6209.8516,-1309.8515625
21767,11960.639,9806.361328125
24620,21238.373,3381.626953125
33980,41386.785,-7406.78515625
14850,17727.977,-2877.9765625
17590,31128.193,-13538.193359375
1800,6621.0356,-4821.03564453125
11995,14553.826,-2558.826171875
17990,18843.8,-853.80078125
39999,41805.438,-1806.4375
39995,24608.148,15386.8515625
24995,25374.92,-379.919921875
9500,11034.19,-1534.1904296875
7300,8375.322,-1075.322265625
20988,17022.79,3965.2109375
6000,15452.632,-9452.6318359375
9000,9476.976,-476.9755859375
27990,23353.916,4636.083984375
18498,13962.752,4535.248046875
14995,14781.211,213.7890625
78995,63907.69,15087.30859375
2500,9643.582,-7143.58203125
8599,9194.216,-595.2158203125
3750,7441.2275,-3691.2275390625
47977,36987.055,10989.9453125
14000,6780.743,7219.2568359375
12899,16352.423,-3453.4228515625
21895,31530.826,-9635.826171875
2499,8634.113,-6135.11328125
14999,14578.141,420.859375
6995,8718.365,-1723.365234375
12590,12826.243,-236.2431640625
13995,11285.357,2709.642578125
4995,9363.83,-4368.830078125
14995,9647.556,5347.4443359375
21420,19706.25,1713.75
5995,10606.56,-4611.5595703125
5997,5760.3384,236.66162109375
18990,16618.482,2371.517578125
4990,3715.3096,1274.6904296875
23977,23354.07,622.9296875
3995,5531.262,-1536.26220703125
4995,6973.458,-1978.4580078125
7900,7017.9604,882.03955078125
5800,11071.12,-5271.1201171875
11900,8086.8696,3813.13037109375
20990,18384.506,2605.494140625
5300,5852.9243,-552.92431640625
23395,23602.365,-207.365234375
16959,13987.747,2971.2529296875
7995,11715.042,-3720.0419921875
6799,6809.4824,-10.482421875
9485,9436.244,48.755859375
10950,10403.69,546.3095703125
6977,9594.254,-2617.25390625
